system   I             system.c:245  al_install_system                [   0.00048] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:202  debug_display_settings           [   0.07917] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07921] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07924] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07928] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07931] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07935] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.07938] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07941] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.07944] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07948] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.07950] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07954] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.07957] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07961] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.07963] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07967] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.07970] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07974] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.07977] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07980] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07983] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.07987] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.07989] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07993] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.07996] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.07999] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08002] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08006] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08009] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08012] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08015] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08019] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08021] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08025] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08027] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08031] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08034] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08038] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08041] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08044] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08047] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08051] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08054] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08057] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08060] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08064] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08066] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08070] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08073] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08082] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08086] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08089] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08092] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08096] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08099] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08103] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08106] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08109] Score is : 897
display  D   display_settings.c:202  debug_display_settings           [   0.08112] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08116] Score is : 726
display  D   display_settings.c:202  debug_display_settings           [   0.08119] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08123] Score is : 721
display  D   display_settings.c:202  debug_display_settings           [   0.08125] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08129] Score is : 717
display  D   display_settings.c:202  debug_display_settings           [   0.08132] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08136] Score is : 715
display  D   display_settings.c:202  debug_display_settings           [   0.08139] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08143] Score is : 714
display  D   display_settings.c:202  debug_display_settings           [   0.08146] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08150] Score is : 713
display  D   display_settings.c:202  debug_display_settings           [   0.08153] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08157] Score is : 712
display  D   display_settings.c:202  debug_display_settings           [   0.08160] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08164] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08167] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08170] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08174] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08177] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08181] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08184] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08188] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08192] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08195] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08199] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08201] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08205] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08208] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08212] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08214] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08218] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08221] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08225] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08228] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08232] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08235] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08239] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08241] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08245] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08248] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08252] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08255] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08259] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08262] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08266] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08269] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08272] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08275] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08279] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08282] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08286] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08289] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08293] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08296] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08299] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08302] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08306] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08309] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08313] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08316] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08319] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08322] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08326] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08329] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08332] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08335] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08339] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08342] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08345] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08348] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08352] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08355] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08358] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08361] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08365] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08368] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08371] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08374] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08378] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08381] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08385] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08388] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08392] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08395] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08399] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08402] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08405] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08408] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08412] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08415] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08418] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08421] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08425] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08428] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08432] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08435] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08439] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08442] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08446] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08449] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08453] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08456] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08459] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08462] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08466] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08469] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08473] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08476] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08479] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08482] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08486] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08489] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08497] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08500] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08504] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08507] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
